Speaker	Sex	Language	Text	Duration	NS	SR	ShE	ID	ShIR	IR	Age
CAT_F1(Su)	F	CAT	O1	12.43	88	7.08	8.1	5.49	57.35	38.86	42
CAT_F1(Su)	F	CAT	O2	16.92	118	6.97	8.1	5.49	56.49	38.28	42
CAT_F1(Su)	F	CAT	O3	19.96	139	6.96	8.1	5.49	56.41	38.23	42
CAT_F1(Su)	F	CAT	O4	22.42	142	6.33	8.1	5.49	51.3	34.77	42
CAT_F1(Su)	F	CAT	O6	13.49	99	7.34	8.1	5.49	59.44	40.29	42
CAT_F1(Su)	F	CAT	O8	18.95	131	6.91	8.1	5.49	55.99	37.95	42
CAT_F1(Su)	F	CAT	O9	11.35	81	7.14	8.1	5.49	57.81	39.18	42
CAT_F1(Su)	F	CAT	P0	18.53	122	6.58	8.1	5.49	53.33	36.14	42
CAT_F1(Su)	F	CAT	P1	19.74	127	6.43	8.1	5.49	52.11	35.32	42
CAT_F1(Su)	F	CAT	P2	17.33	118	6.81	8.1	5.49	55.15	37.38	42
CAT_F1(Su)	F	CAT	P3	19.39	131	6.76	8.1	5.49	54.72	37.09	42
CAT_F1(Su)	F	CAT	P8	17.9	117	6.54	8.1	5.49	52.94	35.88	42
CAT_F1(Su)	F	CAT	P9	17.05	119	6.98	8.1	5.49	56.53	38.31	42
CAT_F1(Su)	F	CAT	Q0	18.55	127	6.85	8.1	5.49	55.46	37.58	42
CAT_F1(Su)	F	CAT	Q1	13.48	93	6.9	8.1	5.49	55.88	37.87	42
CAT_F2(De)	F	CAT	O1	12.51	88	7.03	8.1	5.49	56.98	38.62	50
CAT_F2(De)	F	CAT	O2	16.49	118	7.16	8.1	5.49	57.96	39.28	50
CAT_F2(De)	F	CAT	O3	18.48	139	7.52	8.1	5.49	60.93	41.29	50
CAT_F2(De)	F	CAT	O4	19.98	142	7.11	8.1	5.49	57.57	39.01	50
CAT_F2(De)	F	CAT	O6	12.48	99	7.93	8.1	5.49	64.25	43.55	50
CAT_F2(De)	F	CAT	O8	16.45	131	7.96	8.1	5.49	64.5	43.72	50
CAT_F2(De)	F	CAT	O9	10.02	81	8.08	8.1	5.49	65.48	44.38	50
CAT_F2(De)	F	CAT	P0	16.69	122	7.31	8.1	5.49	59.21	40.13	50
CAT_F2(De)	F	CAT	P1	16.36	127	7.76	8.1	5.49	62.88	42.61	50
CAT_F2(De)	F	CAT	P2	15.46	118	7.63	8.1	5.49	61.82	41.9	50
CAT_F2(De)	F	CAT	P3	17.92	131	7.31	8.1	5.49	59.21	40.13	50
CAT_F2(De)	F	CAT	P8	15.06	117	7.77	8.1	5.49	62.93	42.65	50
CAT_F2(De)	F	CAT	P9	15.5	119	7.68	8.1	5.49	62.19	42.15	50
CAT_F2(De)	F	CAT	Q0	16.71	127	7.6	8.1	5.49	61.56	41.72	50
CAT_F2(De)	F	CAT	Q1	12.31	93	7.55	8.1	5.49	61.19	41.47	50
CAT_F3(Mo)	F	CAT	O1	12.44	88	7.07	8.1	5.49	57.3	38.83	21
CAT_F3(Mo)	F	CAT	O2	16.28	118	7.25	8.1	5.49	58.71	39.79	21
CAT_F3(Mo)	F	CAT	O3	20.26	139	6.86	8.1	5.49	55.57	37.66	21
CAT_F3(Mo)	F	CAT	O4	20.3	142	7	8.1	5.49	56.66	38.4	21
CAT_F3(Mo)	F	CAT	O6	13.72	99	7.22	8.1	5.49	58.45	39.61	21
CAT_F3(Mo)	F	CAT	O8	17.84	131	7.34	8.1	5.49	59.48	40.31	21
CAT_F3(Mo)	F	CAT	O9	10.9	81	7.43	8.1	5.49	60.19	40.79	21
CAT_F3(Mo)	F	CAT	P0	17.42	122	7	8.1	5.49	56.73	38.45	21
CAT_F3(Mo)	F	CAT	P1	19.25	127	6.6	8.1	5.49	53.44	36.22	21
CAT_F3(Mo)	F	CAT	P2	17.68	118	6.67	8.1	5.49	54.06	36.64	21
CAT_F3(Mo)	F	CAT	P3	18.49	131	7.08	8.1	5.49	57.39	38.89	21
CAT_F3(Mo)	F	CAT	P8	16.18	117	7.23	8.1	5.49	58.57	39.7	21
CAT_F3(Mo)	F	CAT	P9	17.29	119	6.88	8.1	5.49	55.75	37.78	21
CAT_F3(Mo)	F	CAT	Q0	19.02	127	6.68	8.1	5.49	54.09	36.65	21
